left_inside_boundary|right_inside_boundary|left_road_boundary|right_road_boundary|left_lane_marking|right_lane_marking
46.4050376698,11.3029653276|46.4050168326,11.3029485931|46.4050909203,11.3029961192|46.4049598778,11.3029117772|46.405059433,11.3029760377|46.4049881237,11.3029298504
46.4051460429,11.3021917999|46.4051363188,11.3021777431|46.4052094808,11.3022272766|46.4050793636,11.302139589|46.4051779934,11.3022058567|46.4051080727,11.3021583314
46.4052460427,11.3022577999|46.4052335403,11.3022457512|46.4051114073,11.3021629459|46.4051761221,11.3022089359|46.4050799198,11.302141526|46.4052048312,11.3022276783
46.4050507476,11.3021254611|46.4050382452,11.3021127431|46.4053071652,11.3022939459|46.4049812898,11.302074589|46.4052756778,11.3022731954|46.405009536,11.3020940007
46.4049477478,11.3020574611|46.404931541,11.3020467512|46.4050051663,11.3020949459|46.4048741225,11.3020099359|46.4049736787,11.3020741954|46.4049028317,11.3020286782
46.4048416545,11.3019921305|46.404829152,11.3019800819|46.4049027775,11.3020276072|46.4047721965,11.3019432665|46.4048712899,11.302007526|46.4048004427,11.3019620089
46.4047458222,11.3019247918|46.4047374872,11.3019154206|46.4048106498,11.301964954|46.4046805316,11.3018772665|46.4047796251,11.3019442035|46.4047092409,11.3018960088
46.4046397289,11.3018594612|46.4046276894,11.3018480819|46.4047013152,11.3018956072|46.4045707337,11.3018112665|46.4046698274,11.301875526|46.40459898,11.3018293395
46.4045417291,11.3017944612|46.4045333941,11.30178509|46.404607483,11.3018332847|46.4044764382,11.3017482746|46.4045759952,11.3018125342|46.4045051477,11.301767017
46.4044453599,11.3017271224|46.4044282268,11.3017164125|46.4045018528,11.3017646072|46.4043712708,11.3016795972|46.404470828,11.3017438567|46.4043995173,11.3016983395
46.404343434,11.3016611224|46.404327227,11.3016504125|46.4044008532,11.3016986072|46.4042702709,11.3016135972|46.4043698283,11.3016778567|46.4042985174,11.3016323395
46.4042320992,11.3015951306|46.4042182075,11.3015830819|46.4042922968,11.3016285991|46.4041603252,11.3015476053|46.4042608088,11.3016091873|46.4041894979,11.3015650089
46.4041343409,11.3015277918|46.4041260058,11.3015184206|46.4042000953,11.3015659459|46.4040690495,11.3014816053|46.4041686073,11.3015458648|46.4040977592,11.3015003476
